[8.353,-5.373
8.36407,-5.44582
8.37224,-5.51845
8.37755,-5.59087
8.38007,-5.66308
8.37984,-5.73507
8.37692,-5.80682
8.37135,-5.87833
8.3632,-5.94959
8.35251,-6.0206
8.33934,-6.09134
8.32374,-6.1618
8.30576,-6.23199
8.28545,-6.30187
8.26287,-6.37146
8.23807,-6.44074
8.21111,-6.5097
8.18203,-6.57834
8.15088,-6.64664
8.11773,-6.71459
8.08262,-6.7822
8.0456,-6.84944
8.00673,-6.91631
7.96606,-6.9828
7.92365,-7.04891
7.87954,-7.11462
7.83379,-7.17993
7.78645,-7.24482
7.73757,-7.3093
7.68721,-7.37334
7.63542,-7.43694
7.58225,-7.5001
7.52775,-7.5628
7.47198,-7.62504
7.41499,-7.6868
7.35683,-7.74808
7.29755,-7.80887
7.23721,-7.86917
7.17586,-7.92895
7.11355,-7.98822
7.05034,-8.04696
6.98627,-8.10517
6.9214,-8.16284
6.85579,-8.21995
6.78948,-8.27651
6.72252,-8.3325
6.65498,-8.38791
6.5869,-8.44274
6.51833,-8.49697
6.44933,-8.5506
6.37996,-8.60362
6.31025,-8.65602
6.24027,-8.70779
6.17007,-8.75893
6.0997,-8.80942
6.02921,-8.85925
5.95866,-8.90842
5.8881,-8.95692
5.81758,-9.00474
5.74715,-9.05187
5.67686,-9.09831
5.60678,-9.14403
5.53695,-9.18905
5.46742,-9.23334
5.39825,-9.27689
5.32949,-9.31971
5.26119,-9.36178
5.1934,-9.40309
5.12618,-9.44363
5.05958,-9.4834
4.99365,-9.52239
4.92845,-9.56058
4.86402,-9.59797
4.80042,-9.63456
4.73771,-9.67032
4.67593,-9.70526
4.61514,-9.73936
4.55539,-9.77262
4.49673,-9.80502
4.43922,-9.83657
4.3829,-9.86724
4.32783,-9.89704
4.27407,-9.92595
4.22167,-9.95396
4.17067,-9.98107
4.12113,-10.0073
4.07311,-10.0325
4.02665,-10.0569
3.98181,-10.0803
3.93865,-10.1027
3.8972,-10.1242
3.85753,-10.1448
3.8197,-10.1643
3.78374,-10.1829
3.74972,-10.2005
3.71768,-10.2171
3.68768,-10.2327
3.65978,-10.2473
3.63402,-10.2608
3.61046,-10.2733
3.58914,-10.2848
3.54572,-10.3078
3.50254,-10.3295
3.45962,-10.3499
3.41694,-10.3691
3.37452,-10.387
3.33235,-10.4036
3.29044,-10.419
3.2488,-10.4332
3.20742,-10.4462
3.16631,-10.4579
3.12547,-10.4685
3.0849,-10.4778
3.04461,-10.4859
3.0046,-10.4928
2.96486,-10.4986
2.92542,-10.5032
2.88626,-10.5066
2.84739,-10.5089
2.80881,-10.51
2.77053,-10.51
2.73255,-10.5088
2.69487,-10.5065
2.65749,-10.5031
2.62041,-10.4986
2.58365,-10.4929
2.5472,-10.4862
2.51106,-10.4784
2.47525,-10.4695
2.43975,-10.4595
2.40457,-10.4484
2.36972,-10.4363
2.3352,-10.4232
2.30101,-10.409
2.26716,-10.3937
2.23364,-10.3775
2.20046,-10.3602
2.16762,-10.3419
2.13513,-10.3225
2.10298,-10.3022
2.07119,-10.2809
2.03975,-10.2586
2.00867,-10.2354
1.97794,-10.2111
1.94758,-10.1859
1.91758,-10.1598
1.88794,-10.1327
1.85868,-10.1046
1.82979,-10.0757
1.80128,-10.0458
1.77314,-10.015
1.74539,-9.98323
1.71802,-9.95061
1.69103,-9.91709
1.66444,-9.88269
1.63823,-9.84741
1.61242,-9.81126
1.58701,-9.77424
1.562,-9.73637
1.53739,-9.69765
1.51319,-9.65808
1.48939,-9.61769
1.46601,-9.57647
1.44304,-9.53443
1.42049,-9.49158
1.39836,-9.44792
1.37665,-9.40347
1.35536,-9.35824
1.33451,-9.31222
1.31408,-9.26543
1.29409,-9.21787
1.27453,-9.16956
1.25541,-9.12049
1.23673,-9.07068
1.2185,-9.02014
1.20072,-8.96887
1.18338,-8.91688
1.1665,-8.86418
1.15007,-8.81077
1.1341,-8.75666
1.11859,-8.70187
1.10355,-8.64639
1.08897,-8.59024
1.07486,-8.53342
1.06123,-8.47594
1.04806,-8.4178
1.03538,-8.35903
1.02317,-8.29961
1.01145,-8.23957
1.00022,-8.1789
0.98947,-8.11762
0.979214,-8.05574
0.969453,-7.99325
0.960188,-7.93017
0.951422,-7.86651
0.943159,-7.80227
0.935401,-7.73746
0.92815,-7.67209
0.921411,-7.60617
0.915184,-7.5397
0.909474,-7.47269
0.90505,-7.41752
0.900711,-7.36226
0.896458,-7.30689
0.892292,-7.25143
0.888213,-7.19589
0.884223,-7.14026
0.880322,-7.08456
0.87651,-7.02878
0.87279,-6.97292
0.869161,-6.91701
0.865625,-6.86103
0.862182,-6.80499
0.858833,-6.7489
0.855579,-6.69276
0.85242,-6.63658
0.849358,-6.58035
0.846394,-6.52409
0.843528,-6.4678
0.840761,-6.41148
0.838093,-6.35513
0.835527,-6.29877
0.833062,-6.24239
0.830699,-6.186
0.828439,-6.1296
0.826284,-6.0732
0.824233,-6.01681
0.822288,-5.96042
0.820449,-5.90404
0.818717,-5.84767
0.817094,-5.79133
0.815579,-5.735
0.814174,-5.67871
0.81288,-5.62244
0.811697,-5.56622
0.810627,-5.51003
0.809669,-5.45389
0.808825,-5.39779
0.808096,-5.34175
0.807483,-5.28577
0.806985,-5.22985
0.806605,-5.17399
0.806343,-5.11821
0.806199,-5.0625
0.806176,-5.00686
0.806272,-4.95131
0.80649,-4.89585
0.80683,-4.84048
0.807293,-4.78521
0.807879,-4.73003
0.808591,-4.67496
0.809427,-4.62
0.81039,-4.56515
0.811479,-4.51042
0.812697,-4.4558
